1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,2
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,1
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,2
82,2
83,3
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,3
93,1
94,1
95,3
96,1
97,1
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,2
115,1
116,1
117,2
118,1
119,2
120,2
121,1
122,1
123,3
124,1
125,1
126,2
127,1
128,1
129,1
130,1
131,2
132,1
133,2
134,1
135,3
136,2
137,2
138,3
139,2
140,2
141,1
142,1
143,2
144,1
145,2
146,1
147,1
148,2
149,2
150,1
