1,1
2,2
3,1
4,1
5,3
6,3
7,4
8,3
9,5
10,1
11,2
12,5
13,2
14,2
15,1
16,2
17,4
18,2
19,2
20,2
21,6
22,1
23,2
24,6
25,2
26,6
27,2
28,3
29,6
30,2
31,1
32,6
33,6
34,4
35,2
36,3
37,5
38,1
39,2
40,2
41,2
42,3
43,3
44,2
45,5
46,6
47,6
48,3
49,6
50,2
51,3
52,6
53,5
54,3
55,4
56,1
57,3
58,6
59,1
60,6
61,3
62,4
63,4
64,2
65,3
66,2
67,3
68,2
69,1
70,5
71,3
72,2
73,1
74,4
75,4
76,3
77,2
78,2
79,3
80,6
81,5
82,2
83,3
84,1
85,5
86,1
87,2
88,2
89,3
90,2
91,3
92,3
93,2
94,4
95,5
96,2
97,4
98,2
99,5
100,6
101,1
102,3
103,2
104,4
105,6
106,3
107,3
108,5
109,1
110,3
111,3
112,3
113,6
114,4
115,4
